Loss_Di,Loss_Dv,Loss_Gi,Loss_Gv,Di_real_mean,Di_fake_mean,Dv_real_mean,Dv_fake_mean
1.5199,1.3389,6.9641,18.1665,0.4686,0.5354,0.5774,0.5236
0.9114,0.5463,6.7736,9.4417,0.8030,0.4135,0.9065,0.0592
0.5259,0.4261,5.2067,6.0418,0.8338,0.1451,0.8419,0.0060
0.5590,0.4006,4.0090,4.9291,0.7098,0.0626,0.8017,0.0131
0.4529,0.5258,4.7867,13.0391,0.8498,0.0933,0.9403,0.1551
0.4844,0.4016,4.7912,6.7234,0.8476,0.0936,0.8419,0.0038
0.4813,0.4056,5.9660,6.9824,0.8719,0.1270,0.9305,0.0027
0.5672,0.3959,4.6274,6.7122,0.8338,0.0544,0.9541,0.0125
0.5590,0.5718,4.5206,5.7208,0.8092,0.0551,0.6723,0.0228
0.7969,0.7372,4.1284,5.7360,0.6920,0.0471,0.6931,0.0296
0.4982,0.9483,5.8711,16.0072,0.8826,0.1491,0.9586,0.3825
0.5119,0.9642,5.1743,10.2759,0.8302,0.0679,0.6152,0.0000
0.3671,0.3292,4.8930,7.7212,0.9372,0.0258,0.8880,0.0002
0.6134,0.4290,3.9974,7.0445,0.6141,0.0513,0.8506,0.0019
0.7051,0.3538,9.1782,4.6428,0.9266,0.2916,0.8298,0.0057
0.4606,2.7756,6.8553,16.5982,0.9441,0.0381,0.9599,0.8151
0.5956,1.4545,5.8615,12.1656,0.5899,0.0049,0.2284,0.0000
0.5036,0.4713,5.6584,11.4362,0.9587,0.0780,0.8548,0.0000
0.6647,0.7581,6.7763,10.5977,0.9968,0.0648,0.9992,0.0000
0.7649,0.6187,4.9546,9.2369,0.6830,0.0409,0.7932,0.0000
0.6196,0.4717,9.2496,6.9241,0.9238,0.2259,0.9824,0.0021
1.2893,0.4650,4.6436,6.1755,0.3213,0.0032,0.8936,0.0138
0.6657,1.0881,8.6813,14.7368,0.8865,0.2637,0.8740,0.4737
0.4569,0.8493,7.4524,11.7835,0.9850,0.0061,0.4227,0.0000
1.7682,1.1027,5.6943,7.9873,0.6004,0.0535,0.4731,0.0000
0.5840,0.3557,6.1739,5.8949,0.8267,0.0980,0.9526,0.0012
0.4624,0.5103,6.3480,5.4384,0.8159,0.0659,0.9174,0.0313
0.4294,0.4626,4.7658,5.4925,0.8067,0.0177,0.9758,0.0176
0.8426,1.2140,10.2731,10.7310,0.9016,0.2867,0.9826,0.3119
1.0160,0.4173,6.3510,9.6055,0.3974,0.0011,0.7288,0.0002
0.4321,0.5302,4.3819,7.4351,0.9664,0.0223,0.6208,0.0002
0.5013,0.3521,5.7567,7.9446,0.9866,0.0426,0.9517,0.0002
0.6665,0.3673,8.0800,6.7458,0.9651,0.1798,0.9512,0.0017
0.6650,0.3377,5.4296,4.9816,0.6474,0.0175,0.9014,0.0061
0.7046,0.6537,8.8512,8.3088,0.9745,0.2263,0.8965,0.2376
0.5356,0.4128,6.7324,7.1599,0.6891,0.0061,0.7377,0.0035
0.6018,0.5811,4.3685,5.6811,0.5708,0.0059,0.6498,0.0010
1.1483,0.4507,11.2757,4.6127,0.9584,0.4383,0.8654,0.0490
0.4123,0.8389,7.9738,12.3822,0.7367,0.0036,0.9126,0.3913
0.3555,1.2847,9.0579,9.4245,0.9436,0.0004,0.3651,0.0000
1.3136,1.2482,7.0596,6.1897,0.6043,0.0002,0.6619,0.0002
0.8930,0.4504,6.8852,4.7159,0.7337,0.2112,0.8916,0.0707
0.3695,0.4300,6.2662,4.5105,0.9336,0.0089,0.9582,0.0179
0.7687,0.3832,2.5183,4.8480,0.4635,0.0132,0.9131,0.0389
2.0290,0.7484,9.1370,3.6592,0.8919,0.5966,0.5720,0.0466
0.5618,0.6698,8.2535,6.7363,0.7214,0.0046,0.9382,0.2448
0.3871,0.3792,5.6630,6.3906,0.8451,0.0160,0.9038,0.0186
